iter	Passed	Remaining
335	583	1153
336	584	1150
337	585	1147
338	587	1144
339	588	1141
340	589	1139
341	590	1136
342	591	1133
343	593	1131
344	594	1129
345	596	1126
346	597	1124
347	599	1122
348	600	1120
349	601	1117
350	603	1114
351	604	1112
352	605	1109
353	606	1107
354	607	1104
355	609	1101
356	610	1099
357	611	1097
358	613	1094
359	614	1092
360	615	1089
361	616	1086
362	618	1084
363	619	1082
364	620	1079
365	621	1077
366	622	1074
367	624	1072
368	625	1069
369	626	1067
370	628	1064
371	629	1062
372	630	1060
373	632	1058
374	633	1055
375	634	1053
376	635	1050
377	636	1047
378	638	1045
379	639	1043
380	640	1040
381	641	1038
382	643	1036
383	644	1033
384	645	1031
385	646	1028
386	648	1026
387	649	1024
388	650	1021
389	651	1019
390	652	1016
391	654	1014
392	655	1012
393	656	1010
394	658	1008
395	659	1005
396	660	1003
397	661	1001
398	663	999
399	664	996
400	666	995
401	667	993
402	668	991
403	670	988
404	671	986
405	672	983
406	673	981
407	674	979
408	675	976
409	677	974
410	678	972
411	680	970
412	681	968
413	682	966
414	683	964
415	685	961
416	686	959
417	687	957
418	688	955
419	690	953
420	691	950
421	692	948
422	694	947
423	696	945
424	697	943
425	698	941
426	699	938
427	700	936
428	702	935
429	703	932
430	705	930
431	706	928
432	707	926
433	708	924
434	710	922
435	711	920
436	712	918
437	714	916
438	715	914
439	716	911
440	717	909
441	718	907
442	719	905
443	721	903
444	722	901
445	724	899
446	726	898
447	727	896
448	729	894
449	730	892
450	731	890
451	732	888
452	734	886
453	735	884
454	736	882
455	738	881
456	739	879
457	741	877
458	742	875
459	743	873
460	745	871
461	746	869
462	747	867
463	749	865
464	751	864
