iter	Passed	Remaining
466	734	838
467	735	836
468	737	834
469	738	832
470	739	830
471	740	827
472	741	825
473	742	824
474	744	823
475	745	820
476	746	818
477	747	816
478	748	814
479	749	812
480	750	810
481	751	807
482	752	805
483	754	803
484	755	801
485	756	799
486	757	798
487	758	796
488	760	794
489	761	792
490	762	790
491	764	788
492	765	786
493	766	785
494	768	784
495	769	782
496	771	780
497	772	778
498	773	777
499	775	775
500	776	773
501	777	771
502	779	770
503	780	768
504	782	766
505	782	764
506	784	762
507	785	760
508	786	758
509	787	756
510	788	754
511	790	753
512	791	751
513	792	749
514	793	747
515	794	745
516	795	743
517	796	741
518	797	739
519	799	737
520	800	736
521	801	734
522	803	733
523	805	731
524	806	729
525	807	727
526	808	725
527	809	723
528	810	721
529	812	720
530	813	718
531	814	716
532	816	715
533	817	713
534	818	711
535	819	709
536	820	707
537	821	705
538	822	703
539	823	701
540	824	699
541	825	697
542	827	696
543	829	695
544	830	693
545	831	691
546	832	689
547	833	687
548	834	685
549	835	683
550	837	682
551	839	681
552	840	679
553	841	677
554	843	675
555	844	674
556	845	672
557	846	670
558	847	668
559	848	666
560	849	664
561	850	663
562	851	661
563	853	659
564	854	657
565	855	656
566	857	654
567	858	653
568	859	651
569	861	649
570	863	648
571	864	646
572	866	645
573	867	643
574	868	642
575	870	640
576	871	638
577	872	636
578	874	635
579	875	634
580	877	632
581	878	631
582	879	629
583	880	627
584	881	625
585	882	623
586	884	622
587	885	620
588	888	619
589	889	618
590	890	616
591	892	614
592	893	613
593	894	611
594	895	609
595	898	609
596	900	607
597	902	606
598	903	605
599	905	603
600	906	601
601	907	600
602	909	598
603	911	597
604	912	596
605	914	594
606	915	592
607	916	590
608	917	588
609	918	587
610	919	585
611	922	584
612	924	583
613	926	582
614	927	580
615	928	578
616	929	577
617	931	575
618	932	573
619	933	572
620	935	570
621	936	569
622	938	567
623	939	566
624	940	564
625	942	562
626	942	560
627	944	559
628	946	558
629	947	556
630	948	554
631	949	553
632	950	551
633	952	549
634	953	548
635	955	546
636	956	545
637	957	543
638	959	541
639	960	540
640	961	538
641	962	536
642	963	534
643	964	533
644	965	531
645	967	530
646	968	528
647	970	526
648	971	525
649	972	523
650	973	521
651	974	520
652	975	518
653	976	516
654	978	515
655	979	513
656	983	513
657	985	511
658	986	510
659	987	508
660	988	506
661	989	505
662	990	503
663	991	501
664	992	500
665	994	498
666	995	497
667	996	495
668	998	493
669	999	492
670	1000	490
671	1001	488
672	1002	487
673	1004	485
674	1005	484
675	1007	482
676	1008	481
677	1010	479
678	1011	478
679	1012	476
680	1013	474
681	1014	473
682	1016	471
683	1017	470
684	1019	468
685	1020	467
686	1021	465
687	1022	463
688	1023	462
689	1024	460
690	1025	458
691	1026	457
692	1028	455
693	1029	453
694	1030	452
695	1031	450
696	1032	448
697	1033	447
698	1035	445
699	1036	444
700	1037	442
701	1039	441
702	1040	439
703	1041	437
704	1043	436
705	1043	434
706	1045	433
707	1046	431
708	1047	429
709	1049	428
710	1050	426
711	1051	425
712	1053	424
713	1054	422
714	1056	420
715	1057	419
716	1058	417
717	1059	416
718	1060	414
719	1061	412
720	1063	411
721	1064	409
722	1065	408
723	1067	406
724	1068	405
725	1069	403
726	1070	402
727	1071	400
728	1072	398
729	1074	397
730	1075	395
731	1076	394
732	1078	392
733	1079	391
734	1080	389
735	1081	388
736	1082	386
737	1084	384
738	1085	383
739	1086	381
740	1087	380
741	1088	378
742	1090	377
743	1091	375
744	1092	373
745	1093	372
746	1094	370
747	1095	369
748	1096	367
749	1098	366
750	1099	364
751	1102	363
752	1104	362
753	1105	360
754	1106	359
755	1107	357
756	1108	355
757	1109	354
758	1111	352
759	1112	351
760	1114	349
761	1115	348
762	1116	346
763	1117	345
764	1118	343
765	1119	342
766	1121	340
767	1122	339
768	1126	338
769	1127	336
770	1128	335
771	1129	333
772	1130	332
773	1131	330
774	1133	328
775	1134	327
776	1135	326
777	1137	324
778	1138	322
779	1139	321
780	1140	319
781	1141	318
782	1142	316
783	1143	315
784	1145	313
785	1146	312
786	1147	310
787	1149	309
788	1150	307
789	1151	306
790	1153	304
791	1154	303
792	1155	301
793	1156	300
794	1157	298
795	1159	297
796	1161	295
797	1163	294
798	1164	292
799	1165	291
800	1166	289
801	1167	288
802	1169	286
803	1170	285
804	1171	283
805	1173	282
806	1174	280
807	1175	279
808	1176	277
809	1177	276
810	1178	274
811	1179	273
812	1180	271
813	1181	270
814	1182	268
815	1183	266
816	1185	265
817	1186	263
818	1187	262
819	1188	260
820	1189	259
821	1190	257
822	1191	256
823	1192	254
824	1193	253
825	1195	251
826	1196	250
827	1197	248
828	1199	247
829	1200	245
830	1201	244
831	1202	242
832	1203	241
833	1204	239
834	1205	238
835	1206	236
836	1207	235
837	1208	233
838	1210	232
839	1210	230
840	1212	229
841	1213	227
842	1214	226
843	1216	224
844	1217	223
845	1218	221
846	1220	220
847	1221	218
848	1222	217
849	1223	215
850	1224	214
851	1226	213
852	1227	211
853	1228	210
854	1229	208
855	1231	207
856	1232	205
857	1233	204
858	1234	202
859	1235	201
860	1236	199
861	1237	198
862	1238	196
863	1239	195
864	1240	193
865	1241	192
866	1242	190
867	1244	189
868	1245	187
869	1246	186
870	1247	184
871	1248	183
872	1249	181
873	1250	180
874	1251	178
875	1252	177
876	1254	175
877	1255	174
878	1256	173
879	1257	171
880	1258	170
881	1259	168
882	1260	167
883	1262	165
884	1262	164
885	1264	162
886	1265	161
887	1266	159
888	1267	158
889	1269	156
890	1270	155
891	1271	153
892	1272	152
893	1273	151
894	1274	149
895	1275	148
896	1277	146
897	1278	145
898	1279	143
899	1281	142
900	1282	140
901	1283	139
902	1285	138
903	1286	136
904	1287	135
905	1288	133
906	1289	132
907	1291	130
908	1293	129
909	1295	128
910	1296	126
911	1297	125
912	1298	123
913	1300	122
914	1301	120
915	1303	119
916	1304	118
917	1305	116
918	1307	115
919	1309	113
920	1310	112
921	1311	110
922	1313	109
923	1315	108
924	1316	106
925	1317	105
926	1319	103
927	1320	102
928	1321	100
929	1323	99
930	1324	98
931	1325	96
932	1326	95
933	1328	93
934	1329	92
935	1330	90
936	1331	89
937	1332	88
938	1333	86
939	1334	85
940	1335	83
941	1336	82
942	1337	80
943	1339	79
944	1341	78
945	1342	76
